
(0-67 ARASI VERİLER) **** 1. derece yaklaştırma katsayıları ****
a0=-27526.3459972863 | a1=2775.3310719131614 | 
r değeri = 0.982985215495855

7.GÜN | Gerçek veri: 191.0 , Yaklaşım verisi : -4892.94335255916
8.GÜN | Gerçek veri: 359.0 , Yaklaşım verisi : -2596.26724540869
9.GÜN | Gerçek veri: 670.0 , Yaklaşım verisi : -281.528686757736
10.GÜN | Gerçek veri: 947.0 , Yaklaşım verisi : 2051.27232339370
11.GÜN | Gerçek veri: 1236.0 , Yaklaşım verisi : 4402.13578504560
12.GÜN | Gerçek veri: 1529.0 , Yaklaşım verisi : 6771.06169819799
13.GÜN | Gerçek veri: 1872.0 , Yaklaşım verisi : 9158.05006285086
14.GÜN | Gerçek veri: 2433.0 , Yaklaşım verisi : 11563.1008790042
15.GÜN | Gerçek veri: 3629.0 , Yaklaşım verisi : 13986.2141466580
16.GÜN | Gerçek veri: 5698.0 , Yaklaşım verisi : 16427.3898658123
17.GÜN | Gerçek veri: 7402.0 , Yaklaşım verisi : 18886.6280364671
18.GÜN | Gerçek veri: 9217.0 , Yaklaşım verisi : 21363.9286586224
19.GÜN | Gerçek veri: 10827.0 , Yaklaşım verisi : 23859.2917322781
20.GÜN | Gerçek veri: 13531.0 , Yaklaşım verisi : 26372.7172574343
21.GÜN | Gerçek veri: 15679.0 , Yaklaşım verisi : 28904.2052340910
22.GÜN | Gerçek veri: 18315.0 , Yaklaşım verisi : 31453.7556622482
23.GÜN | Gerçek veri: 20921.0 , Yaklaşım verisi : 34021.3685419059
24.GÜN | Gerçek veri: 23934.0 , Yaklaşım verisi : 36607.0438730640
25.GÜN | Gerçek veri: 27069.0 , Yaklaşım verisi : 39210.7816557226
26.GÜN | Gerçek veri: 30217.0 , Yaklaşım verisi : 41832.5818898817
27.GÜN | Gerçek veri: 34109.0 , Yaklaşım verisi : 44472.4445755413
28.GÜN | Gerçek veri: 38226.0 , Yaklaşım verisi : 47130.3697127013
29.GÜN | Gerçek veri: 42282.0 , Yaklaşım verisi : 49806.3573013619
30.GÜN | Gerçek veri: 47029.0 , Yaklaşım verisi : 52500.4073415229
31.GÜN | Gerçek veri: 52167.0 , Yaklaşım verisi : 55212.5198331843
32.GÜN | Gerçek veri: 56956.0 , Yaklaşım verisi : 57942.6947763463
33.GÜN | Gerçek veri: 61049.0 , Yaklaşım verisi : 60690.9321710087
34.GÜN | Gerçek veri: 65111.0 , Yaklaşım verisi : 63457.2320171717
35.GÜN | Gerçek veri: 69392.0 , Yaklaşım verisi : 66241.5943148351
36.GÜN | Gerçek veri: 74193.0 , Yaklaşım verisi : 69044.0190639989
37.GÜN | Gerçek veri: 78546.0 , Yaklaşım verisi : 71864.5062646633
38.GÜN | Gerçek veri: 82329.0 , Yaklaşım verisi : 74703.0559168281
39.GÜN | Gerçek veri: 86306.0 , Yaklaşım verisi : 77559.6680204935
40.GÜN | Gerçek veri: 90980.0 , Yaklaşım verisi : 80434.3425756592
41.GÜN | Gerçek veri: 95591.0 , Yaklaşım verisi : 83327.0795823255
42.GÜN | Gerçek veri: 98674.0 , Yaklaşım verisi : 86237.8790404923
43.GÜN | Gerçek veri: 101790.0 , Yaklaşım verisi : 89166.7409501595
44.GÜN | Gerçek veri: 104912.0 , Yaklaşım verisi : 92113.6653113272
45.GÜN | Gerçek veri: 107773.0 , Yaklaşım verisi : 95078.6521239954
46.GÜN | Gerçek veri: 110130.0 , Yaklaşım verisi : 98061.7013881641
47.GÜN | Gerçek veri: 112261.0 , Yaklaşım verisi : 101062.813103833
48.GÜN | Gerçek veri: 114653.0 , Yaklaşım verisi : 104081.987271003
49.GÜN | Gerçek veri: 117589.0 , Yaklaşım verisi : 107119.223889673
50.GÜN | Gerçek veri: 120204.0 , Yaklaşım verisi : 110174.522959844
51.GÜN | Gerçek veri: 122392.0 , Yaklaşım verisi : 113247.884481515
52.GÜN | Gerçek veri: 124375.0 , Yaklaşım verisi : 116339.308454686
53.GÜN | Gerçek veri: 126045.0 , Yaklaşım verisi : 119448.794879358
54.GÜN | Gerçek veri: 127659.0 , Yaklaşım verisi : 122576.343755531
55.GÜN | Gerçek veri: 129491.0 , Yaklaşım verisi : 125721.955083204
56.GÜN | Gerçek veri: 131744.0 , Yaklaşım verisi : 128885.628862377
57.GÜN | Gerçek veri: 133721.0 , Yaklaşım verisi : 132067.365093051
58.GÜN | Gerçek veri: 135569.0 , Yaklaşım verisi : 135267.163775225
59.GÜN | Gerçek veri: 137115.0 , Yaklaşım verisi : 138485.024908900
60.GÜN | Gerçek veri: 138657.0 , Yaklaşım verisi : 141720.948494076
61.GÜN | Gerçek veri: 139771.0 , Yaklaşım verisi : 144974.934530752
62.GÜN | Gerçek veri: 141475.0 , Yaklaşım verisi : 148246.983018928
63.GÜN | Gerçek veri: 143114.0 , Yaklaşım verisi : 151537.093958605
64.GÜN | Gerçek veri: 144749.0 , Yaklaşım verisi : 154845.267349782
65.GÜN | Gerçek veri: 146457.0 , Yaklaşım verisi : 158171.503192460
66.GÜN | Gerçek veri: 148067.0 , Yaklaşım verisi : 161515.801486638
67.GÜN | Gerçek veri: 149435.0 , Yaklaşım verisi : 164878.162232317

(0-67 ARASI VERİLER) **** 3. derece yaklaştırma katsayıları ****
a0=6002.220279718795 | a1=-2343.2913007928896 | a2=173.41723655967016 | a3=-1.6116275569552077 | 
r değeri = 0.998687803246306

1.GÜN | Gerçek veri: 1.0 , Yaklaşım verisi : 3830.73458792862
2.GÜN | Gerçek veri: 5.0 , Yaklaşım verisi : 1996.41360391605
3.GÜN | Gerçek veri: 6.0 , Yaklaşım verisi : 489.587562339366
4.GÜN | Gerçek veri: 18.0 , Yaklaşım verisi : -699.413302143173
5.GÜN | Gerçek veri: 47.0 , Yaklaşım verisi : -1580.25875487330
6.GÜN | Gerçek veri: 98.0 , Yaklaşım verisi : -2162.61856119274
7.GÜN | Gerçek veri: 191.0 , Yaklaşım verisi : -2456.16248644323
8.GÜN | Gerçek veri: 359.0 , Yaklaşım verisi : -2470.56029596650
9.GÜN | Gerçek veri: 670.0 , Yaklaşım verisi : -2215.48175510428
10.GÜN | Gerçek veri: 947.0 , Yaklaşım verisi : -1700.59662919829
11.GÜN | Gerçek veri: 1236.0 , Yaklaşım verisi : -935.574683590286
12.GÜN | Gerçek veri: 1529.0 , Yaklaşım verisi : 69.9143163780209
13.GÜN | Gerçek veri: 1872.0 , Yaklaşım verisi : 1306.20060536489
14.GÜN | Gerçek veri: 2433.0 , Yaklaşım verisi : 2763.61441802861
15.GÜN | Gerçek veri: 3629.0 , Yaklaşım verisi : 4432.48598902741
16.GÜN | Gerçek veri: 5698.0 , Yaklaşım verisi : 6303.14555301959
17.GÜN | Gerçek veri: 7402.0 , Yaklaşım verisi : 8365.92334466342
18.GÜN | Gerçek veri: 9217.0 , Yaklaşım verisi : 10611.1495986171
19.GÜN | Gerçek veri: 10827.0 , Yaklaşım verisi : 13029.1545495390
20.GÜN | Gerçek veri: 13531.0 , Yaklaşım verisi : 15610.2684320874
21.GÜN | Gerçek veri: 15679.0 , Yaklaşım verisi : 18344.8214809205
22.GÜN | Gerçek veri: 18315.0 , Yaklaşım verisi : 21223.1439306965
23.GÜN | Gerçek veri: 20921.0 , Yaklaşım verisi : 24235.5660160738
24.GÜN | Gerçek veri: 23934.0 , Yaklaşım verisi : 27372.4179717106
25.GÜN | Gerçek veri: 27069.0 , Yaklaşım verisi : 30624.0300322653
26.GÜN | Gerçek veri: 30217.0 , Yaklaşım verisi : 33980.7324323960
27.GÜN | Gerçek veri: 34109.0 , Yaklaşım verisi : 37432.8554067610
28.GÜN | Gerçek veri: 38226.0 , Yaklaşım verisi : 40970.7291900186
29.GÜN | Gerçek veri: 42282.0 , Yaklaşım verisi : 44584.6840168270
30.GÜN | Gerçek veri: 47029.0 , Yaklaşım verisi : 48265.0501218446
31.GÜN | Gerçek veri: 52167.0 , Yaklaşım verisi : 52002.1577397297
32.GÜN | Gerçek veri: 56956.0 , Yaklaşım verisi : 55786.3371051403
